"month","day","year","deaths","date"
"658",10,19,2016,72,2016-10-19
"659",10,20,2016,79,2016-10-20
"660",10,21,2016,74,2016-10-21
"661",10,22,2016,101,2016-10-22
"662",10,23,2016,68,2016-10-23
"663",10,24,2016,69,2016-10-24
"664",10,25,2016,63,2016-10-25
"665",10,26,2016,71,2016-10-26
"666",10,27,2016,67,2016-10-27
"667",10,28,2016,73,2016-10-28
"668",10,29,2016,78,2016-10-29
"669",10,30,2016,79,2016-10-30
"670",10,31,2016,65,2016-10-31
"671",11,1,2016,84,2016-11-01
"672",11,2,2016,72,2016-11-02
"673",11,3,2016,74,2016-11-03
"674",11,4,2016,97,2016-11-04
"675",11,5,2016,77,2016-11-05
"676",11,6,2016,97,2016-11-06
"677",11,7,2016,77,2016-11-07
"678",11,8,2016,77,2016-11-08
"679",11,9,2016,82,2016-11-09
"680",11,10,2016,73,2016-11-10
"681",11,11,2016,85,2016-11-11
"682",11,12,2016,79,2016-11-12
"683",11,13,2016,79,2016-11-13
"684",11,14,2016,90,2016-11-14
"685",11,15,2016,79,2016-11-15
"686",11,16,2016,76,2016-11-16
"687",11,17,2016,78,2016-11-17
"688",11,18,2016,84,2016-11-18
"689",11,19,2016,100,2016-11-19
"690",11,20,2016,82,2016-11-20
"691",11,21,2016,91,2016-11-21
"692",11,22,2016,71,2016-11-22
"693",11,23,2016,87,2016-11-23
"694",11,24,2016,82,2016-11-24
"695",11,25,2016,66,2016-11-25
"696",11,26,2016,91,2016-11-26
"697",11,27,2016,87,2016-11-27
"698",11,28,2016,89,2016-11-28
"699",11,29,2016,90,2016-11-29
"700",11,30,2016,88,2016-11-30
"701",12,1,2016,77,2016-12-01
"702",12,2,2016,88,2016-12-02
"703",12,3,2016,67,2016-12-03
"704",12,4,2016,78,2016-12-04
"705",12,5,2016,82,2016-12-05
"706",12,6,2016,106,2016-12-06
"707",12,7,2016,80,2016-12-07
"708",12,8,2016,87,2016-12-08
"709",12,9,2016,103,2016-12-09
"710",12,10,2016,102,2016-12-10
"711",12,11,2016,89,2016-12-11
"712",12,12,2016,107,2016-12-12
"713",12,13,2016,87,2016-12-13
"714",12,14,2016,70,2016-12-14
"715",12,15,2016,85,2016-12-15
"716",12,16,2016,78,2016-12-16
"717",12,17,2016,83,2016-12-17
"718",12,18,2016,99,2016-12-18
"719",12,19,2016,78,2016-12-19
"720",12,20,2016,84,2016-12-20
"721",12,21,2016,91,2016-12-21
